uid,total_interaction,active_days,user_lifetime_days,avg_rating,rating_std,category_div,unique_app,churn
09BcJAgCn5nK3xgi,74,71,3008,3.5675675675675675,1.481216466759495,31,72,0
09CdisxILDaYx55u,12,12,1921,2.6666666666666665,1.3706888336846839,10,12,1
09cBjlDnEZDP9Qkz,5,5,771,3.0,1.5811388300841898,5,5,1
09kJiZ5K9sujqMS9,48,46,2233,3.0833333333333335,1.5135323392131308,23,47,0
09y7NLMQVF0BK5ah,10,10,2455,2.9,1.5951314818673867,10,10,1
0A67YkeEe2qBfAFn,5,5,1090,3.4,0.5477225575051662,5,5,1
0AI3yg8SqqcyU00W,7,7,1055,3.857142857142857,1.3451854182690985,6,7,1
0APHZyQY8lahNKoz,46,43,1271,3.5434782608695654,1.3937403191752349,24,46,0
0APJhmcB8RQiVFGU,121,113,3243,3.677685950413223,1.4618189356247115,36,121,0
0AQWVsU9eIDb5Ahg,66,65,2916,2.803030303030303,1.5710819101174731,32,66,0
0AROQxTtS7jEB37o,5,5,890,2.6,2.1908902300206647,5,5,0
0AS2DVICkQUHtLjK,147,136,2718,3.4761904761904763,1.458716518477301,42,144,0
0Addu7yBidGFOPMy,5,5,2737,3.4,1.51657508881031,5,5,0
0Aes146XjjZGQtBc,30,27,1590,3.566666666666667,1.2780193008453875,17,30,0
0AmTvguuEGQ6fb2k,6,6,831,3.1666666666666665,1.4719601443879746,6,6,1
0AnILvyRirMOkvQ9,7,7,1280,2.7142857142857144,1.7043362064926932,7,7,1
0AqNVvRAcJiweZbd,11,11,1346,3.090909090909091,1.3751033019046572,9,11,0
0B7DLFhQBzAkiAyY,12,12,3069,3.0833333333333335,1.8319554050414562,11,12,1
0BEErKiLLVFsLfh0,7,7,1001,3.857142857142857,1.2149857925879117,6,7,0
0BJZFCO240iQpHhb,12,12,1070,2.6666666666666665,1.6696942198734437,11,12,0
0BLjeoSYsxeLCJC6,7,7,2138,4.285714285714286,1.2535663410560174,7,7,1
0BObTVCS5K5yfXSC,6,6,1629,3.5,1.6431676725154984,6,6,0
0Bf9aUrMIGyHNzE0,5,5,388,3.2,1.7888543819998317,5,5,1
0BiHFGnnzglD5N8T,6,6,1098,3.3333333333333335,1.3662601021279464,6,6,0
0BkynjErZQVsrHxH,6,6,1514,3.6666666666666665,1.2110601416389968,6,6,1
0Bmj2JoNWziujM74,6,6,793,2.3333333333333335,1.505545305418162,5,6,1
0Br03GpcxiNd9B8F,6,6,1408,3.3333333333333335,1.632993161855452,5,6,0
0BtI6RbS9AZYfg0O,8,8,958,3.125,1.6420805617960927,6,8,1
0BtXe1deslBI3O3n,17,17,2716,3.823529411764706,1.5904124511289146,13,17,0
0C1HgZv4zffCITxd,116,107,2571,3.2241379310344827,1.4630890899591251,36,116,0
0C2C8bIBnPQqbnbl,8,8,1360,4.0,1.1952286093343938,7,8,0
0C7R0j4dCAk2zqgu,65,62,2526,3.5384615384615383,1.5317159809030674,30,63,0
0CHxMLOULoBwTKB3,16,15,1761,4.0,1.591644851508443,13,16,0
0CKUuBNGANrTeJ5b,8,8,1456,2.375,1.3024701806293193,7,8,0
0CNr5rGU41vtNRUT,9,9,1016,3.5555555555555554,1.4240006242195884,7,9,1
0COMRJLi0I48i6AL,131,122,3171,3.16793893129771,1.549951223826713,35,130,0
0CRZXxWw51tPJrNW,9,9,2072,2.888888888888889,1.8333333333333333,7,9,0
0CWTkrau6k49OkUk,108,102,2667,3.287037037037037,1.5888097345016534,32,107,0
0CWeHl4twXgGT2pu,5,5,797,3.0,2.0,5,5,0
0CeZSM1Be2Uhh2tU,5,5,245,2.4,1.5165750888103102,4,5,1
0DCZm1dqoyXNrtXU,7,7,937,4.285714285714286,1.2535663410560174,7,7,1
0DGds9rGDBCVwwlB,7,7,924,3.857142857142857,1.2149857925879117,6,7,1
0DIRmEyOnosWM7rA,7,7,2036,3.0,1.1547005383792515,6,7,0
0DJ9R6ppxiyBjhcw,13,12,1304,2.4615384615384617,1.5063966175050876,8,13,1
0DWNVJWImhOZ7Oin,7,6,2388,3.857142857142857,1.0690449676496976,7,7,1
0DjNdFT7ZJassRpu,10,10,980,3.0,1.4142135623730951,10,10,1
0DoC76IcSAjZy7B3,5,5,1124,3.8,1.6431676725154982,5,5,0
0DqDKotegrM4KdyO,5,5,1603,3.4,1.51657508881031,5,5,0
0E4StzBPtUrgZPCF,5,5,1107,2.2,1.7888543819998317,4,5,0
0EDEAZG3L9Q2sjCJ,6,6,917,3.6666666666666665,1.2110601416389966,6,6,1
0EEW1p5Vmv1hH032,6,6,1695,3.3333333333333335,1.3662601021279464,6,6,0
0EJbdWWbsCLDsC2g,7,7,1489,3.7142857142857144,1.3801311186847085,5,7,1
0ERsSMxpUowuN6CM,33,32,2532,3.1818181818181817,1.6096301099659793,23,33,0
0EfHVVaBvbj92yMc,5,5,610,2.2,1.6431676725154982,5,5,1
0Ei3g47B96qGzzHI,5,5,2763,1.4,0.8944271909999159,5,5,1
0ErGf4BTyoUFYHj1,8,8,2407,3.0,1.6035674514745464,6,7,1
0Ey5zUtzKnvB7gdb,153,137,3384,3.261437908496732,1.5465208909630253,40,151,0
0F7Pj0saCNeu5Gwf,6,6,2133,4.166666666666667,0.752772652709081,6,6,0
0F7b5VZH0fAJXbYK,6,6,1044,4.0,1.2649110640673518,6,6,1
0FFJdG8G6PmTNpvM,8,8,1943,3.25,1.4880476182856899,8,8,1
0FQknQhQ8Vi5KqAe,6,6,1047,2.5,1.378404875209022,6,6,1
0FZsTLWhym4iWZTT,7,7,1027,2.7142857142857144,1.889822365046136,7,7,0
0FjF3N6TKb0MISG8,5,5,876,3.6,0.8944271909999159,5,5,1
0FvUJuZcirDlDZ4p,11,11,2246,3.5454545454545454,1.3684762594679063,9,11,1
0Fy3nTOBiVbC8l8K,6,6,1431,3.8333333333333335,1.169045194450012,5,6,1
0G7JziVQ6WnkgJfO,5,5,339,3.8,1.0954451150103324,4,5,0
0GE25d4wq7PXIlEK,145,128,2801,3.296551724137931,1.481947563976364,40,145,0
0GXSrgR0rjLOIkIS,6,6,778,2.1666666666666665,1.602081978759722,5,6,1
0GhhPRXNDhnE513B,15,15,2051,2.8,1.61245154965971,10,15,1
0GhwtsadwOwtZD8V,65,62,2342,3.276923076923077,1.605728926256043,30,64,0
0Gp1zEACMBeL8Svf,5,5,1382,3.6,1.6733200530681511,5,5,1
0GpnaGcRyaUvaABc,26,25,1772,3.5384615384615383,1.4207257083834088,14,26,0
0Gs0JKb1fgnM262b,64,60,2567,3.546875,1.446722486305149,30,63,0
0Gxd26DzT4IEkgqL,8,8,1582,2.5,1.6035674514745464,8,8,1
0HDm9XlAEHVrvryl,111,103,2172,3.2882882882882885,1.521885119230199,34,110,0
0HI8yXoLbWm0PSXB,5,5,1681,2.8,1.7888543819998317,5,5,1
0HIBXyPHfJ6v8TcM,8,8,2416,3.0,1.1952286093343936,7,8,0
0HMXYoHODD91FdC6,12,12,1593,3.0,1.7056057308448835,9,12,0
0HQFABP5g79cUNGl,6,6,1291,3.1666666666666665,1.6020819787597222,5,6,1
0HVKSvLhb4kst03G,10,10,1313,3.1,1.5238839267549946,9,10,1
0Hh45FzV0Hxaw1Ej,7,7,2736,2.7142857142857144,1.6035674514745464,7,7,1
0HiNusn29iksMxJE,5,5,2092,2.6,1.51657508881031,5,5,1
0HtIHEQ3HVpIbgyB,5,5,2553,4.4,0.8944271909999159,4,5,1
0I0vdzwLGPPSNbzL,7,7,1957,3.4285714285714284,1.511857892036909,6,7,1
0ICxPkNGHeOOb1Mf,134,128,2919,3.514925373134328,1.5253993665501715,38,132,0
0IFe3MRRrHhE7vPf,9,9,1933,2.888888888888889,1.6158932858054431,9,9,1
0IGIqTszP6FJGKcZ,6,6,2674,3.1666666666666665,1.8348478592697182,6,6,0
0IK5LmmzUvgHWcNZ,6,6,1022,3.3333333333333335,1.505545305418162,4,5,0
0ISqpsN36dAmsxsx,5,5,1629,3.8,1.6431676725154984,5,5,1
0ITx2nHV1LLEf4hu,7,7,1989,3.7142857142857144,1.2535663410560174,6,7,1
0IV5jU3FE9eajiL3,6,6,1145,3.6666666666666665,1.3662601021279464,5,6,1
0IVXuvABmf0RoMVq,11,11,2854,3.272727272727273,1.618079669911781,7,11,1
0IfJPO0TbwhnmHAe,5,5,968,3.4,1.51657508881031,5,5,0
0IgP3ijqf6C9QLRw,9,9,1108,2.6666666666666665,1.3228756555322954,7,9,0
0IodScn4j70Xe2fw,103,101,3244,3.5436893203883497,1.4126646982177724,37,102,0
0IuVu2AILEGPOE91,11,11,2100,2.909090909090909,1.7002673586554236,9,11,0
0JByfT53Zy5A9CX3,9,9,2299,4.0,0.7071067811865476,8,9,0
0JCNAE437CjnoU0U,82,78,2616,3.292682926829268,1.4781353358413878,31,81,0
0JLtjmpybv6JOBUP,15,15,2223,2.8666666666666667,1.505545305418162,10,15,0
0JM1wrxPAuzx2gNK,5,5,2033,4.4,0.8944271909999159,5,5,1
0JMOllLO6k4oGWqH,109,102,3039,3.403669724770642,1.6393272448886411,38,108,0
0JQfkQow1oCWIx0Z,5,5,1163,4.4,1.3416407864998738,5,5,1
0JbqyWZbmeGjT1Z7,8,8,1958,3.375,1.7677669529663689,6,8,1
0JpC5ncfOnfUHwv1,7,7,1844,3.0,1.9148542155126762,7,7,0
0Jq4FBETTyAB7bey,49,49,2986,3.3877551020408165,1.4974468066597593,26,49,0
0JymomTnIJDQG88a,7,7,2050,2.4285714285714284,1.618347187425374,7,7,1
0K3c5TLY3cVoe6Gs,6,6,899,1.8333333333333333,1.6020819787597222,6,6,1
0K86DQhH5shxe3Zi,6,6,2369,2.8333333333333335,1.6020819787597222,6,6,1
0KFWMCJEt4OUhhdo,8,8,1238,3.75,1.3887301496588271,7,8,0
0KGaxCFWkSCGpUS8,143,133,3403,3.3076923076923075,1.543869152809509,38,140,0
0KPbZpRCivfBaVRu,5,5,1018,1.6,0.5477225575051662,5,5,1
0KUb8aNC2BFi1Sdu,6,6,826,4.0,1.5491933384829666,5,6,1
0KnKP351pxc4xf4p,12,12,2015,3.1666666666666665,1.80067327475704,11,12,1
0KoCFqINyv0Vj3tc,13,13,2339,3.0,1.3540064007726602,10,13,0
0KqTScjUNUMDypHL,12,12,1047,3.9166666666666665,1.164500152881315,10,12,0
0L2A5gMSIIhy27ZP,103,97,2779,3.4271844660194173,1.5755605398264743,37,101,0
0L3O1DumL6Veg2wY,76,70,2976,3.513157894736842,1.5619937776455797,32,76,0
0L4Rv1bfveRYdeut,7,7,1797,2.2857142857142856,1.1126972805283737,7,7,1
0LJhcaACxSEt2cOt,6,6,1660,3.3333333333333335,1.632993161855452,6,6,0
0LMkloyh2KJ65ANO,20,20,2352,2.9,1.5861240410775603,16,20,0
0LQRPg0HGAnNex8m,8,8,2518,3.0,1.3093073414159544,7,8,0
0LRYiQcRh45Qw1e3,5,5,543,3.2,1.7888543819998317,5,5,0
0LTcaZkOeTTeuDHk,6,6,2395,2.6666666666666665,1.96638416050035,4,6,0
0LY8t8Q19nZCOvLf,21,21,3251,3.6666666666666665,1.2780193008453875,15,21,0
0LzrQeN8Ut2gGdKQ,5,5,661,3.4,1.816590212458495,5,5,1
0MFqFDm0rW1frW9y,145,138,2486,3.2,1.539299985202509,41,142,0
0MqKEB73Hh1Ymq3Q,7,7,2245,2.5714285714285716,1.3972762620115435,6,7,1
0My2nRsOHlUeDqQx,5,4,1075,4.0,0.7071067811865476,5,5,1
0N4AxCekwScjbdJB,82,79,3244,3.402439024390244,1.4389618694281554,36,82,0
0NHmpK7Esvxv9Hsl,19,19,2379,3.473684210526316,1.5765088382115289,15,19,0
0NQXly6giBreJ3QN,8,8,1076,3.375,1.8468119248354138,8,8,0
0NW9OSjyqxeFBT7G,12,12,2303,3.0833333333333335,1.5642792899510294,11,12,1
0NYs42AqF0UgxhQw,57,56,2966,3.210526315789474,1.5781639660565685,27,57,0
0Na5lkmWV3sWmrNG,20,20,2092,3.25,1.4823523268955432,17,20,1
0NiKNAk5siNt7okq,8,8,2222,3.125,1.5526475085202969,7,8,1
0NmZ6F8huEcCJSAd,6,6,1977,4.5,0.5477225575051661,5,6,1
0O0SRVdo8i47nM8X,8,8,1297,3.125,1.6420805617960927,6,8,1
0O0gK3DmcLvlj7Jb,35,34,2479,3.5142857142857142,1.5787453799742113,19,35,0
0O36nvdHYCPXPF1K,8,8,744,3.75,1.7525491637693282,6,8,0
0O7XsKxWdGDzX7Xu,6,6,1643,2.5,1.6431676725154982,5,6,0
0OHIXh9NZ1YyEwoy,7,7,1469,3.7142857142857144,1.1126972805283737,6,7,0
0OHfvHvJJwFbn4UO,8,8,1736,3.5,1.1952286093343936,6,8,1
0OIhExY80TltW1qq,63,60,2241,3.5555555555555554,1.5634719199411429,31,63,0
0OKga799BoVcF6LS,40,39,3068,3.225,1.3490262395045527,25,40,0
0OKxYQRKpdRMCkXS,13,13,2297,3.8461538461538463,1.4632243987255136,9,13,1
0OLdkjxmRnJr3O3M,18,18,1786,3.3333333333333335,1.5339299776947408,15,18,0
0OcOltEiF0JM11bt,6,6,2847,2.6666666666666665,1.632993161855452,5,6,1
0OefuWQ3CAc6zNF0,5,5,1281,3.8,1.6431676725154984,5,5,1
0OlwKTJ9cb4f3FF6,7,7,1758,3.7142857142857144,1.1126972805283737,6,7,0
0OpMsSFG8PTj9rHE,14,14,2815,3.857142857142857,1.0994504121565505,11,14,1
0P66VaVXxVwFNB6f,49,47,2469,3.2244897959183674,1.5581145941282284,29,49,0
0PVwq8QbAsBbPtvP,11,11,1494,4.090909090909091,0.8312094145936335,10,11,1
0PhfJ7ZGgNbbHBP2,6,6,2543,3.0,1.4142135623730951,6,6,1
0Pl1yhBY5ge19pNc,9,9,2472,3.3333333333333335,1.0,9,9,1
0PysP4Xlv7w14kBY,10,10,513,2.9,1.449137674618944,9,10,0
0Q0KELVX9CGTOi2O,26,25,1395,3.423076923076923,1.6043210881385788,18,26,0
0Q4euaRPDPSimmpE,13,12,1672,3.6923076923076925,1.4366984945013912,8,13,0
0Q7l7P5pYQlviqFZ,12,12,1098,2.75,1.9128750375000738,9,12,1
0QBnvS2w2nUR0aKY,10,10,897,3.9,1.7919573407620817,7,10,1
0QDrOxoouJK4QBTJ,116,110,3376,3.6379310344827585,1.5736777844004286,38,116,0
0QFOKowReqKPqmYf,36,36,2882,3.138888888888889,1.457057264837547,19,36,0
0QJLMzo2foIa6cGo,51,49,1717,3.5098039215686274,1.6293869892644637,31,51,0
0QN0LEhoGISWFgZc,8,8,1685,2.125,1.5526475085202969,7,8,1
0QUxLKKKugIz8DNT,139,127,2287,3.3453237410071943,1.5821111845345706,37,139,0
0QVTpxm0RtvtpXkk,8,8,1872,2.125,1.3562026818605375,4,8,1
0QZzRe8iaCInwa54,8,8,769,3.25,1.6690459207925603,6,8,1
0QlXLcFzvtxRgWjv,14,14,2465,3.357142857142857,1.7368026705655182,12,14,0
0QoKxW1CVJ2eSyJi,7,7,1230,2.7142857142857144,1.3801311186847085,5,7,1
0QpxXtOH2KPEsFvB,6,6,1132,2.6666666666666665,1.8618986725025255,6,6,1
0RA6cYZW7wG4JFwC,10,10,996,4.0,1.0540925533894596,8,10,1
0RCOfQGqyQ8oEPqS,5,5,1021,2.6,1.816590212458495,4,5,0
0RD27zXY6d5i8ngi,8,8,1084,3.625,1.5059406173077154,7,8,1
0RR854cBewMO3ICS,127,120,3252,3.5669291338582676,1.4119138827840916,39,123,0
0ReQs9BGbpJDUfkx,8,8,1511,4.0,1.0690449676496976,6,8,1
0RndXWAW7a2wnUtX,11,11,823,3.6363636363636362,1.8040358795061298,8,11,1
0RoKNubCXOGIz1hM,105,104,2670,3.1142857142857143,1.5210970592753976,33,105,0
0S0ynnT3bhwTLYD0,69,68,2644,3.5652173913043477,1.4499316502102193,28,68,0
0SFq8QGSpO7c4xKn,8,8,1056,3.25,1.4880476182856899,8,8,0
0SYpWXyA6w5THbY5,7,7,1929,1.4285714285714286,0.5345224838248488,5,7,1
0Smk0dyOWWeQwJ44,11,11,2662,3.1818181818181817,1.5374122295716148,9,11,0
0So99rrqkcE3ziN6,14,14,1543,3.0714285714285716,1.6391501416322993,12,14,0
0SskwoF9DX3Uczq6,11,11,1533,2.8181818181818183,1.7215215257545762,10,11,1
0SswD0znqwqNWUpT,7,7,1221,3.2857142857142856,1.6035674514745464,6,7,0
0T0oYczEWionwKlK,8,8,1125,2.625,1.7677669529663689,8,8,1
0T9kr4Qm1jvamDj4,136,125,3228,3.213235294117647,1.5222210295305667,42,135,0
0THpNz1l2Jqq05s1,33,33,2895,3.212121212121212,1.6155025486976133,22,33,0
0TMljQtKOawG5w5o,33,32,2560,3.272727272727273,1.4847711791873706,19,33,0
0TSzXsUj32DQdq4w,9,9,2165,3.111111111111111,1.69148192751537,8,9,1
0TYYTo4NPfE0FTL4,15,14,1987,3.466666666666667,1.4074631010979937,12,15,0
0U39w4XoaxunrvbC,8,8,2795,3.0,1.6035674514745464,7,8,1
0UFdH5FCFedCNS1p,16,16,2633,3.6875,1.40089257261219,13,16,1
0UOqOMHVJov1BDVN,5,4,710,4.6,0.8944271909999159,5,5,1
0UTapYwv6AdrwPnX,7,7,1866,2.7142857142857144,1.3801311186847085,5,7,1
0UVwJGly14wyUbVi,9,9,2507,3.111111111111111,1.6914819275153699,7,9,0
0UXgA5DBs9q7JgtI,6,6,880,2.5,1.6431676725154984,6,6,1
0UXlI8qhRPmDAJ8Q,13,12,994,3.0,1.7320508075688772,9,13,1
0UXyFxG1zLMnfZm1,38,38,2299,3.236842105263158,1.667401450166417,23,38,0
0UYBQtvK24i2dYiE,5,5,901,3.2,2.04939015319192,5,5,0
0UYb09Zi1Tj90WLw,5,5,580,2.4,1.6733200530681511,3,5,0
0Ui37t5F8E9BjfaT,33,33,2873,2.5757575757575757,1.7505410419050278,25,33,0
0UkzKkusahhEsM3M,5,5,1548,4.0,1.224744871391589,5,5,1
0UscQppw3KWwemME,9,9,1132,2.7777777777777777,1.7873008824606014,8,9,0
0UtTFsUXnb161bWZ,162,145,3369,3.3333333333333335,1.5762208124782011,40,160,0
0UuvScY5iNa2KBJk,6,6,567,3.3333333333333335,1.3662601021279464,6,6,1
0Uw8avJNnYeEqvvK,6,6,944,3.5,1.9748417658131499,6,6,1
0VDqrWMhcFOlCOAx,10,10,2038,3.2,1.6865480854231356,9,10,1
0VFjmfe8w8Q88EzN,29,29,2214,3.793103448275862,1.5670561651167905,17,29,1
0VGTGrMhNCGoTdob,22,22,2955,3.1363636363636362,1.2069423999139135,18,22,0
0VHZn2m5ybpb1qCq,23,23,1074,2.9130434782608696,1.3788349323798654,15,23,0
0VO8ebsNkzcVyUXj,27,26,1373,3.111111111111111,1.5275252316519465,19,27,1
0VQszvxADrRczb5y,6,6,1298,3.8333333333333335,1.1690451944500122,6,6,0
0VSYtluN6Gc5KY50,7,7,1026,3.5714285714285716,1.9023794624226837,7,7,1
0VTQPeP1u7QskwLx,7,7,768,3.857142857142857,0.6900655593423543,5,7,1
0VclKECLr1pfRI8M,138,128,3096,3.2318840579710146,1.4105434841811484,37,138,0
0VizuJ2hJqoEazGJ,8,8,826,3.125,1.4577379737113252,8,8,1
0VpPcOUbj1XHRi4q,5,5,1005,4.0,1.224744871391589,5,5,0
0VrmcXqF5RO8HgCl,123,119,2575,3.2113821138211383,1.5484102504219899,36,122,0
0VsrJb34jTqHPXrg,5,5,1775,3.0,2.0,5,5,1
0WF89SxzlDRRTzTw,88,84,2961,3.5795454545454546,1.4911354225840285,36,88,0
0WKS0Rql8omRV93X,5,5,591,3.4,2.1908902300206647,5,5,1
0WRcX0Oxnt16zdN7,5,5,1092,2.6,1.816590212458495,5,5,0
0WcEUcr2BrLoNFJR,34,34,2334,3.7941176470588234,1.3878130116974405,21,33,0
0WeD67kPBybm1AIs,7,7,2443,3.2857142857142856,1.3801311186847085,6,7,0
0WjqStGbsnjn8AuE,95,92,2618,3.0,1.5088392043822465,39,94,0
0Wm0oy1MuNdnCtlC,8,8,2980,2.625,1.3024701806293193,8,8,0
0WyFhUZbmlffduMl,7,7,2386,3.4285714285714284,1.3972762620115438,6,7,0
0X0nwkz37QTHh9jx,6,6,3041,2.8333333333333335,0.9831920802501749,5,6,1
